acronym,name,classification,formula,bands,polarizations,constants,external_variables,reductions,source,contributor,date_of_addition
AshburnVI,Ashburn Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",2.0 * N2 - R,"['N2', 'R']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://ntrs.nasa.gov/citations/19800007243', 'source_link_semantic_scholar': {'corpus_id': 128035828, 'paper_id': '61d68ec6ea172457a17810a998edaefca0c0bc9c'}, 'source_link_status': 'operational', 'source_link_type': 'other', 'source_metadata': {'authors': ['P. Ashburn'], 'citations_metrics': {'citation_count': 40, 'date': '2026-08-19', 'overall': {'percentile': 13.74, 'percentile_similar_age': 50.0, 'rank': 271, 'rank_similar_age': 2}, 'similar_age_count': 2, 'within_application_domain': {'percentile': 13.27, 'percentile_similar_age': 50.0, 'rank': 184, 'rank_similar_age': 2}}, 'how_to_cite': {'apa': 'P. Ashburn (1979). The vegetative index number and crop identification. https://ntrs.nasa.gov/citations/19800007243', 'bibtex': 'ASI_AshburnVI'}, 'source': 'semantic_scholar', 'title': 'The vegetative index number and crop identification', 'year': 1979}}",https://github.com/MartinuzziFrancesco,2026-07-04
BAI,Burned Area Index,"{'application_domain': 'burn', 'family': None, 'sensing_modalities': ['multispectral']}",1.0 / ((0.1 - R) ** 2.0 + (0.06 - N) ** 2.0),"['R', 'N']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://digital.csic.es/bitstream/10261/6426/1/Martin_Isabel_Serie_Geografica.pdf', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'other', 'source_metadata': {}}",https://github.com/davemlz,2021-04-07
BAIM,Burned Area Index adapted to MODIS,"{'application_domain': 'burn', 'family': None, 'sensing_modalities': ['multispectral']}",1.0/((0.05 - N) ** 2.0) + ((0.2 - S2) ** 2.0),"['N', 'S2']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1016/j.foreco.2006.08.248', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['M. Pilar Martín', 'Israel Gómez', 'Emilio Chuvieco'], 'citations_metrics': {'citation_count': 41, 'date': '2026-08-18', 'overall': {'percentile': 14.06, 'percentile_similar_age': 4.08, 'rank': 270, 'rank_similar_age': 48}, 'similar_age_count': 49, 'within_application_domain': {'percentile': 11.76, 'percentile_similar_age': 11.11, 'rank': 16, 'rank_similar_age': 9}}, 'how_to_cite': {'apa': 'M. Pilar Martín, Israel Gómez, & Emilio Chuvieco (2006). Burnt Area Index (BAIM) for burned area discrimination at regional scale using MODIS data. Forest Ecology and Management, 234. https://doi.org/10.1016/j.foreco.2006.08.248', 'bibtex': 'ASI_BAIM'}, 'journal': 'Forest Ecology and Management', 'source': 'crossref', 'title': 'Burnt Area Index (BAIM) for burned area discrimination at regional scale using MODIS data', 'type': 'article', 'volume': '234', 'year': 2006}}",https://github.com/davemlz,2022-04-20
BAIS2,Burned Area Index for Sentinel 2,"{'application_domain': 'burn', 'family': None, 'sensing_modalities': ['multispectral']}",(1.0 - ((RE2 * RE3 * N2) / R) ** 0.5) * (((S2 - N2)/(S2 + N2) ** 0.5) + 1.0),"['RE2', 'RE3', 'N2', 'R', 'S2']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.3390/ecrs-2-05177', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Federico Filipponi'], 'citations_metrics': {'citation_count': 100, 'date': '2026-08-18', 'overall': {'percentile': 31.31, 'percentile_similar_age': 48.21, 'rank': 216, 'rank_similar_age': 30}, 'similar_age_count': 56, 'within_application_domain': {'percentile': 64.71, 'percentile_similar_age': 100.0, 'rank': 7, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'Federico Filipponi (2018). BAIS2: Burned Area Index for Sentinel-2. The 2nd International Electronic Conference on Remote Sensing. https://doi.org/10.3390/ecrs-2-05177', 'bibtex': 'ASI_BAIS2'}, 'journal': 'The 2nd International Electronic Conference on Remote Sensing', 'source': 'crossref', 'title': 'BAIS2: Burned Area Index for Sentinel-2', 'type': 'conference_paper', 'year': 2018}}",https://github.com/davemlz,2021-04-07
BCC,Blue Chromatic Coordinate,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",B / (R + G + B),"['B', 'R', 'G']",[],{},{},{},"{'source_companions': ['GCC', 'RCC'], 'source_link': 'https://doi.org/10.1016/0034-4257(87)90088-5', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Alan R Gillespie', 'Anne B Kahle', 'Richard E Walker'], 'citations_metrics': {'citation_count': 616, 'date': '2026-08-18', 'overall': {'percentile': 72.2, 'percentile_similar_age': 66.67, 'rank': 88, 'rank_similar_age': 3}, 'similar_age_count': 6, 'within_application_domain': {'percentile': 63.03, 'percentile_similar_age': 66.67, 'rank': 79, 'rank_similar_age': 3}}, 'how_to_cite': {'apa': 'Alan R Gillespie, Anne B Kahle, & Richard E Walker (1987). Color enhancement of highly correlated images. II. Channel ratio and “chromaticity” transformation techniques. Remote Sensing of Environment, 22(3). https://doi.org/10.1016/0034-4257(87)90088-5', 'bibtex': 'ASI_BCC'}, 'issue': '3', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Color enhancement of highly correlated images. II. Channel ratio and “chromaticity” transformation techniques', 'type': 'article', 'volume': '22', 'year': 1987}}",https://github.com/davemlz,2022-01-17
BI,Bare Soil Index,"{'application_domain': 'soil', 'family': None, 'sensing_modalities': ['multispectral']}",((S1 + R) - (N + B))/((S1 + R) + (N + B)),"['S1', 'R', 'N', 'B']",[],{},{},{},"{'source_companions': ['AVI', 'SI'], 'source_link': 'https://www.researchgate.net/publication/255718070_Tropical_forest_cover_density_mapping', 'source_link_semantic_scholar': {'corpus_id': 88163464, 'paper_id': '076b1060b928d1bf7a4ae1107ec82b291867c61e'}, 'source_link_status': 'operational', 'source_link_type': 'other', 'source_metadata': {'authors': ['A. Rikimaru', 'P. Roy', 'S. Miyatake'], 'citations_metrics': {'citation_count': 443, 'date': '2026-08-19', 'overall': {'percentile': 61.34, 'percentile_similar_age': 42.86, 'rank': 123, 'rank_similar_age': 30}, 'similar_age_count': 49, 'within_application_domain': {'percentile': 100.0, 'percentile_similar_age': 100.0, 'rank': 1, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'A. Rikimaru, P. Roy, & S. Miyatake (2002). Tropical forest cover density mapping. Tropical Ecology, 43. https://www.researchgate.net/publication/255718070_Tropical_forest_cover_density_mapping', 'bibtex': 'ASI_AVI'}, 'journal': 'Tropical Ecology', 'source': 'semantic_scholar', 'title': 'Tropical forest cover density mapping', 'volume': '43', 'year': 2002}}",https://github.com/davemlz,2022-04-08
BITM,Landsat TM-based Brightness Index,"{'application_domain': 'soil', 'family': None, 'sensing_modalities': ['multispectral']}",(((B**2.0)+(G**2.0)+(R**2.0))/3.0)**0.5,"['B', 'G', 'R']",[],{},{},{},"{'source_companions': ['BIXS', 'RI4XS'], 'source_link': 'https://doi.org/10.1016/S0034-4257(98)00030-3', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Renaud Mathieu', 'Marcel Pouget', 'Bernard Cervelle', 'Richard Escadafal'], 'citations_metrics': {'citation_count': 174, 'date': '2026-08-18', 'overall': {'percentile': 43.45, 'percentile_similar_age': 14.63, 'rank': 178, 'rank_similar_age': 36}, 'similar_age_count': 41, 'within_application_domain': {'percentile': 76.47, 'percentile_similar_age': 100.0, 'rank': 5, 'rank_similar_age': 1}}, 'how_to_cite': {'apa': 'Renaud Mathieu, Marcel Pouget, Bernard Cervelle, & Richard Escadafal (1998). Relationships between Satellite-Based Radiometric Indices Simulated Using Laboratory Reflectance Data and Typic Soil Color of an Arid Environment. Remote Sensing of Environment, 66(1). https://doi.org/10.1016/s0034-4257(98)00030-3', 'bibtex': 'ASI_BITM'}, 'issue': '1', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Relationships between Satellite-Based Radiometric Indices Simulated Using Laboratory Reflectance Data and Typic Soil Color of an Arid Environment', 'type': 'article', 'volume': '66', 'year': 1998}}",https://github.com/davemlz,2022-11-20
BIXS,SPOT HRV XS-based Brightness Index,"{'application_domain': 'soil', 'family': None, 'sensing_modalities': ['multispectral']}",(((G**2.0)+(R**2.0))/2.0)**0.5,"['G', 'R']",[],{},{},{},"{'source_companions': ['BITM', 'RI4XS'], 'source_link': 'https://doi.org/10.1016/S0034-4257(98)00030-3', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Renaud Mathieu', 'Marcel Pouget', 'Bernard Cervelle', 'Richard Escadafal'], 'citations_metrics': {'citation_count': 174, 'date': '2026-08-18', 'overall': {'percentile': 43.45, 'percentile_similar_age': 14.63, 'rank': 179, 'rank_similar_age': 37}, 'similar_age_count': 41, 'within_application_domain': {'percentile': 76.47, 'percentile_similar_age': 100.0, 'rank': 6, 'rank_similar_age': 2}}, 'how_to_cite': {'apa': 'Renaud Mathieu, Marcel Pouget, Bernard Cervelle, & Richard Escadafal (1998). Relationships between Satellite-Based Radiometric Indices Simulated Using Laboratory Reflectance Data and Typic Soil Color of an Arid Environment. Remote Sensing of Environment, 66(1). https://doi.org/10.1016/s0034-4257(98)00030-3', 'bibtex': 'ASI_BITM'}, 'issue': '1', 'journal': 'Remote Sensing of Environment', 'source': 'crossref', 'title': 'Relationships between Satellite-Based Radiometric Indices Simulated Using Laboratory Reflectance Data and Typic Soil Color of an Arid Environment', 'type': 'article', 'volume': '66', 'year': 1998}}",https://github.com/remi-braun,2022-11-20
BLFEI,Built-Up Land Features Extraction Index,"{'application_domain': 'urban', 'family': None, 'sensing_modalities': ['multispectral']}",(((G+R+S2)/3.0)-S1)/(((G+R+S2)/3.0)+S1),"['G', 'R', 'S2', 'S1']",[],{},{},{},"{'source_companions': [], 'source_link': 'https://doi.org/10.1080/10106049.2018.1497094', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Rafik Bouhennache', 'Toufik Bouden', 'Abdmalik Taleb-Ahmed', 'Abbas Cheddad'], 'citations_metrics': {'citation_count': 78, 'date': '2026-08-18', 'overall': {'percentile': 23.96, 'percentile_similar_age': 38.24, 'rank': 239, 'rank_similar_age': 43}, 'similar_age_count': 68, 'within_application_domain': {'percentile': 31.58, 'percentile_similar_age': 66.67, 'rank': 14, 'rank_similar_age': 2}}, 'how_to_cite': {'apa': 'Rafik Bouhennache, Toufik Bouden, Abdmalik Taleb-Ahmed, & Abbas Cheddad (2019). A new spectral index for the extraction of built-up land features from Landsat 8 satellite imagery. Geocarto International, 34(14). https://doi.org/10.1080/10106049.2018.1497094', 'bibtex': 'ASI_BLFEI'}, 'issue': '14', 'journal': 'Geocarto International', 'source': 'crossref', 'title': 'A new spectral index for the extraction of built-up land features from Landsat 8 satellite imagery', 'type': 'article', 'volume': '34', 'year': 2019}}",https://github.com/davemlz,2022-02-09
BNDVI,Blue Normalized Difference Vegetation Index,"{'application_domain': 'vegetation', 'family': None, 'sensing_modalities': ['multispectral']}",(N - B)/(N + B),"['N', 'B']",[],{},{},{},"{'source_companions': ['GBNDVI', 'GRNDVI'], 'source_link': 'https://doi.org/10.1016/S1672-6308(07)60027-4', 'source_link_semantic_scholar': None, 'source_link_status': 'operational', 'source_link_type': 'doi', 'source_metadata': {'authors': ['Fu-min WANG', 'Jing-feng HUANG', 'Yan-lin TANG', 'Xiu-zhen WANG'], 'citations_metrics': {'citation_count': 323, 'date': '2026-08-18', 'overall': {'percentile': 55.27, 'percentile_similar_age': 67.5, 'rank': 141, 'rank_similar_age': 14}, 'similar_age_count': 40, 'within_application_domain': {'percentile': 42.18, 'percentile_similar_age': 65.22, 'rank': 123, 'rank_similar_age': 9}}, 'how_to_cite': {'apa': 'Fu-min WANG, Jing-feng HUANG, Yan-lin TANG, & Xiu-zhen WANG (2007). New Vegetation Index and Its Application in Estimating Leaf Area Index of Rice. Rice Science, 14(3). https://doi.org/10.1016/s1672-6308(07)60027-4', 'bibtex': 'ASI_BNDVI'}, 'issue': '3', 'journal': 'Rice Science', 'source': 'crossref', 'title': 'New Vegetation Index and Its Application in Estimating Leaf Area Index of Rice', 'type': 'article', 'volume': '14', 'year': 2007}}",https://github.com/MATRIX4284,2021-04-07
